EconState,XPState,TowerState,DragonState,VisionState,FightState,Action,Q_Value,IsBestAction
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,EvenFight,Baron_Control,3.2637505531311035,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,HighVision,WinningFight,Tower_Push,4.666264057159424,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,HighVision,WinningFight,Safe_Farm,4.991550445556641,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,HighVision,WinningFight,Dragon_Control,5.243061542510986,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,HighVision,WinningFight,Vision_Control,4.883520603179932,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,HighVision,WinningFight,Group_Attack,5.2710652351379395,True
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,HighVision,WinningFight,Baron_Control,5.224787712097168,False
Econ_HardBehind,XP_Behind,TowerEven,DragonEven,LowVision,LosingFight,Tower_Push,3.5777034759521484,False
Econ_HardBehind,XP_Behind,TowerEven,DragonEven,LowVision,LosingFight,Safe_Farm,3.3953092098236084,False
Econ_HardBehind,XP_Behind,TowerEven,DragonEven,LowVision,LosingFight,Dragon_Control,3.5822408199310303,True
Econ_HardBehind,XP_Behind,TowerEven,DragonEven,LowVision,LosingFight,Vision_Control,3.1773574352264404,False
Econ_HardBehind,XP_Behind,TowerEven,DragonEven,LowVision,LosingFight,Group_Attack,3.3296830654144287,False
Econ_HardBehind,XP_Behind,TowerEven,DragonEven,LowVision,LosingFight,Baron_Control,3.348947763442993,False
Econ_Even,XP_Even,TowerEven,DragonEven,LowVision,EvenFight,Tower_Push,4.116849422454834,False
Econ_Even,XP_Even,TowerEven,DragonEven,LowVision,EvenFight,Safe_Farm,4.1973557472229,False
Econ_Even,XP_Even,TowerEven,DragonEven,LowVision,EvenFight,Dragon_Control,4.076485633850098,False
Econ_Even,XP_Even,TowerEven,DragonEven,LowVision,EvenFight,Vision_Control,3.786179304122925,False
Econ_Even,XP_Even,TowerEven,DragonEven,LowVision,EvenFight,Group_Attack,4.2152838706970215,True
Econ_Even,XP_Even,TowerEven,DragonEven,LowVision,EvenFight,Baron_Control,4.060887813568115,False
Econ_Behind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Tower_Push,3.2916133403778076,False
Econ_Behind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Safe_Farm,3.3426878452301025,False
Econ_Behind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Dragon_Control,3.3208200931549072,False
Econ_Behind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Vision_Control,3.429497003555298,True
Econ_Behind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Group_Attack,3.2885982990264893,False
Econ_Behind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Baron_Control,3.2792019844055176,False
Econ_Crushing,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Tower_Push,4.419232368469238,False
Econ_Crushing,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Safe_Farm,4.648916721343994,False
Econ_Crushing,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Dragon_Control,4.205502510070801,False
Econ_Crushing,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Vision_Control,4.356799125671387,False
Econ_Crushing,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Group_Attack,4.992737293243408,True
Econ_Crushing,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Baron_Control,4.450544357299805,False
